,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
India,340.1,354.7,319,341.2,206,194.9,161.6,169.3,162.4,145.8,130.4,186.5,173.6,185.2,239.4
Pakistan,7.4,15.7,13.2,20.9,13.9,14.5,16,16.9,14.8,14.3,11.9,18.1,20.8,21.9,19
Sri Lanka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China,183.2,266.5,264.1,418.5,208.4,236.3,292.2,314,315.4,217.7,208,294.4,226.8,287.2,345.7
Japan,-39.8,-52.3,-11,3.9,-2.7,16.2,17.1,-3.3,12.5,-20.1,-9.3,0.1,-11.2,-0.4,2.6
Indonesia,17.2,27.4,26.5,46.9,26.9,20.1,21.1,20.2,22.2,14.2,16.8,19.8,21.5,20.6,24.5
Malaysia,5.5,9.8,7.7,10.3,8.2,6.8,5.2,5.8,6,5.4,4.3,4.9,6.2,5.5,7.5
Singapore,1.4,4.2,5.2,6.5,6.5,5.9,5,4.8,4.9,4.4,3.7,4.5,5.8,5.3,6.5
South Korea,1.3,7.9,11.4,17.9,16.7,19.9,15.1,18.5,19.3,19.5,19,20.9,17,15.3,19.4
Thailand,64.2,106.6,100.9,138.9,96.4,78,69.7,64,68.5,35.4,-87.3,28.7,29,34,39.8
Vietnam,68.2,90.6,73.8,87.9,54.2,47.8,42.9,37.4,41.3,39.1,29.1,31.1,41,40.4,42.1
Australia,0,0,0,0,0,0,0,0,0,0,0,22.4,25.3,13.4,11.3
Saudi Arabia,14.6,17.7,16.9,18.3,15.7,14.9,16.5,16.7,16.2,15.8,18.4,25.7,24.3,19.2,15.5
United Arab Emirates,10,11.9,10.7,14.1,9.9,8.8,6,5.5,5.8,5.1,5.2,7.8,8.4,11.5,13.5
Kuwait,1.4,1.3,1.6,3.8,3.6,3,2.5,2.6,3,2.6,2.7,3.6,4.2,5.3,6.1
Egypt,2.4,2.3,2.1,7.1,6,4.9,2.7,2.5,2.6,2.5,2.2,2.4,19.2,30.3,24
Iran,43.5,53.2,57,64,36.1,30.1,4.6,19.2,61.8,39.1,36.3,25.5,41.8,44.5,42.3
Turkey,40.9,72,48.1,104.2,48.6,23.1,29.4,52.4,37.8,52.9,121.1,61.4,84.9,150.1,112.2
Russia,0,0,0,0,7.9,4.8,3.7,2.5,2.6,3.7,5,5.3,25,31.5,34.4
USA,104.4,82.6,53.1,75.3,48.2,71.1,91.3,35.2,26.1,19.7,69.1,115.8,107.9,115.7,77.6
Canada,3.7,6,4.4,6.5,4.4,3.4,4.1,2.9,2.2,3,7.7,10.8,12.1,9.4,7.4
Mexico,4.7,2.9,3.1,2.5,2.2,2.4,2.3,2.7,2,1.4,0.9,1.4,1.1,1.1,0.8
Brazil,0.5,0.9,1,1.4,1.3,1.4,1.3,1,0.9,0.9,1.4,1.6,1.6,1.7,1.8
France,1.3,6.5,2.7,1.9,1,-0.5,-4.2,-0.1,-1.2,0.3,3.5,4.7,5.8,2.7,-2.6
Germany,122.8,142.3,108.1,133.3,101.3,116,110.8,106.6,96.3,85.6,157,162.6,185.4,46.9,16.8
Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
England,14.8,17.4,15,11.5,7.6,8.5,11.9,10.5,12.1,10.5,13.9,15.5,16.4,12.8,10.3
Switzerland,86.9,96.8,62.2,61.7,47.7,50.4,45.6,42.5,36.6,29.8,42.9,43.8,48.7,35.8,16.9
Austria,13.7,15.1,10.4,13,10.2,12.2,10.8,9.7,8.2,6.2,11.6,12.3,14.2,4.1,2.4
