,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
India,0.8,0.8,0.7,0.7,0.6,0.7,0.5,0.6,0.6,0.5,0.3,0.6,0.6,0.5,0.6
Pakistan,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2
Sri Lanka,0.0,0.0,0.0,0.0,0.4,0.5,0.5,0.5,0.4,0.4,0.2,0.2,0.2,0.5,0.3
China ,0.5,0.6,0.6,1.0,0.7,0.7,0.7,0.7,0.7,0.6,0.4,0.7,0.6,0.7,0.6
Taiwan,0.3,0.6,0.5,0.8,0.7,0.6,0.5,0.5,0.5,0.5,0.5,0.4,0.5,0.5,0.5
Japan,-0.2,-0.3,0.0,0.2,0.1,0.3,0.3,0.1,0.2,0.0,0.0,0.1,0.0,0.1,0.1
Indonesia,0.2,0.3,0.3,0.4,0.3,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2
Malaysia,0.6,0.7,0.7,0.9,0.8,0.7,0.6,0.6,0.6,0.5,0.4,0.5,0.6,0.5,0.5
Singapore,2.0,2.5,2.8,3.9,3.8,3.3,3.1,3.0,2.9,2.6,1.7,2.1,2.6,2.1,2.2
South Korea,0.4,0.5,0.6,0.8,0.8,0.9,0.8,0.8,0.8,0.8,0.7,0.8,0.6,0.5,0.6
Thailand,1.1,1.7,1.6,2.3,1.6,1.3,1.2,1.1,1.2,0.7,-1.2,0.5,0.6,0.6,0.7
Vietnam,0.9,1.2,1.0,1.1,0.7,0.7,0.6,0.6,0.6,0.6,0.4,0.4,0.6,0.6,0.6
Australia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1.4,0.9,0.7
Saudi Arabia,3.5,2.9,2.5,3.1,3.0,2.8,2.0,1.8,1.6,1.5,1.0,1.4,1.6,1.6,1.4
United Arab Emirates,9.3,8.1,7.0,9.1,7.5,6.7,5.6,5.6,4.5,4.1,2.9,4.4,5.7,4.8,4.4
Kuwait,2.9,2.6,2.4,3.9,4.3,3.8,3.4,3.7,3.7,3.3,2.8,3.5,3.9,4.0,3.7
Egypt,0.7,0.5,0.5,0.6,0.6,0.5,0.3,0.3,0.3,0.3,0.2,0.3,0.5,0.5,0.5
Iran,1.2,1.3,1.3,1.7,1.0,0.9,0.6,0.8,1.1,0.8,0.7,0.6,0.8,0.8,0.8
Turkey,1.5,2.0,1.5,2.4,1.5,0.9,0.9,1.2,0.9,1.1,1.8,1.1,1.4,2.3,1.8
Russia,0.5,0.5,0.5,0.6,0.5,0.3,0.3,0.3,0.3,0.3,0.2,0.3,0.4,0.5,0.5
USA,0.7,0.6,0.5,0.6,0.5,0.6,0.7,0.5,0.5,0.5,0.6,0.8,0.8,0.8,0.6
Canada,0.6,0.6,0.5,0.6,0.5,0.5,0.5,0.5,0.4,0.5,0.6,0.7,0.7,0.6,0.5
Mexico,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1
Brazil,0.2,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
France,0.4,0.4,0.3,0.3,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.2
Germany,1.7,1.9,1.5,1.8,1.4,1.5,1.5,1.4,1.3,1.2,2.0,2.1,2.3,0.7,0.3
Italy,0.6,0.5,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.3,0.3,0.3,0.3
Spain,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
England,0.7,0.6,0.6,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.4,0.5,0.5,0.5,0.4
Switzerland,11.2,12.3,7.8,7.7,5.9,6.1,5.5,5.1,4.3,3.5,5.0,5.1,5.6,4.1,1.9
Austria,1.6,1.8,1.2,1.5,1.2,1.4,1.2,1.1,0.9,0.7,1.3,1.4,1.6,0.5,0.3
