,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
India,661.7,619.3,595.2,615.5,626.6,662.3,504.5,601.9,598,544.6,315.9,610.9,600.6,575.8,563.4
Pakistan,26.5,24.2,26.2,23.3,21.9,23.2,26.2,28.1,25.4,23.8,16.8,23.1,23.5,21.1,17.5
Sri Lanka,0,0,0,0,9.1,10.7,10.5,11.2,9.6,7.9,4.3,4.1,3.9,10.5,5.8
China,492.7,606.6,654.2,"1,031.30",875.3,825.9,692.9,715.7,743,681.8,433.3,699.3,598.2,672,511.3
Japan,20.8,15.9,16.1,17,16.5,16.5,16.9,16.6,16.5,17,13.8,15.5,15.4,16.3,15.1
Indonesia,33.4,33.4,35.2,41.2,36.5,38.9,38.4,38.6,41.9,40.4,20.9,27,28.3,25.1,22.8
Malaysia,11.3,10,11.9,16.3,16.5,13.6,12.6,11.8,12.9,12.2,9.2,10.5,13,11.3,11.5
Singapore,8.5,8.9,9.7,14.4,14,12.2,12.1,11.8,11.5,10.5,5.7,7,9.1,7.2,6.8
South Korea,17.8,18.6,16.6,22.9,22.9,25.6,24.1,22.7,21.7,19.5,16.4,18.7,15.4,12.2,11.7
Thailand,7.1,6.9,9.2,14.9,12.4,12.2,11.9,11.4,12.1,11.1,5.9,8.1,9.4,9.2,9.1
Vietnam,14.2,12.8,10.5,11.8,12.5,15.6,15.4,16.5,18.2,17.3,10.7,11.9,18.1,15.1,13.2
Australia,0,0,0,0,0,0,0,0,0,0,0,8.4,11,11.7,8.9
Saudi Arabia,69.9,54.7,49,66.4,68.4,69.5,53.8,54.4,52.8,51.5,29.7,59.5,56.3,48.9,49.1
United Arab Emirates,66.9,56.3,49.4,64.4,56,51.4,45.2,46.7,36.2,34,21.5,33.9,46.9,39.8,34.7
Kuwait,9,8.4,7.7,11.7,14.2,13.2,12.6,13.9,14.1,13.3,10.3,13,14.7,14.3,12.3
Egypt,53,34.1,42.1,45.8,44.4,38.3,25.4,21.8,24.5,26.4,21.1,31.4,32.1,26.7,26.1
Iran,41.5,45,45.2,63.7,39.3,37.2,40.5,45.4,29.4,30.5,20,26.3,29.9,27.3,26.7
Turkey,67.9,73.6,65.9,79.9,68.1,49,40.8,41.2,36.4,36.5,25.9,33.9,36.9,42.2,40.9
Russia,60.3,64.4,67.7,79.7,67.6,43.2,38.3,39.8,43,44.5,29.8,41.5,35.7,39.7,39.4
USA,122.3,115.9,107.1,112.5,116.6,119.5,118.8,123.7,128.4,131.1,118.2,149.1,144.5,136.9,131.9
Canada,16.7,14.6,13.2,13.2,14,14.2,13.8,14.1,14.3,14.4,13.1,15.2,15.4,14.4,13.8
Mexico,22.8,18.9,15.3,15.9,15.8,16.6,16,16.6,16.8,16.6,12.4,12.7,13.2,13.6,13.5
Brazil,28.8,25,27.1,25.1,22.2,20,18.9,19.2,19.2,18.8,14.6,14.6,15.5,15.2,15.6
France,20.7,19.2,15.7,14.9,14.2,13.6,13.4,13.3,13,12.7,10.5,12.4,14.2,14.2,13.8
Germany,13.7,12,10.7,10.1,10,10.2,10.3,10.4,10.6,10.6,9,11.1,11.1,10.7,9.5
Italy,34.2,26.9,22.6,21.1,19.9,19.2,19,18.8,18.5,18.2,13.8,17.3,19.4,18.8,17.8
Spain,11.6,8.2,8.4,7.8,8.3,8.9,8.4,8.6,8.9,9,7,7.9,8.2,8.3,8.6
England,26,21.4,20,21.2,25.7,25.9,25.2,23.1,22.5,21.8,15.7,19.3,19.3,18.2,17.4
Switzerland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
